,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District,lat,lon
4671,471.0,2.0,3850000.0,39.0,19.0,12.0,19.89,,,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4672,472.0,1.0,3866880.0,40.3,34.0,,16.94,3.0,0.0,0.0,0.0,1.0,3.0,20.0,1.0,5.0,55.604896,37.653976
4673,473.0,1.0,3900000.0,38.6,18.0,7.0,19.3,10.0,0.0,0.0,0.0,1.0,7.0,12.0,0.0,5.0,55.58354,37.655239
4674,474.0,1.0,3900000.0,35.0,28.0,,19.57,10.0,0.0,0.0,0.0,1.0,5.0,12.0,0.0,5.0,55.58177,37.663261
4675,475.0,1.0,3900000.0,33.0,19.0,6.0,19.88,,,0.0,0.0,1.0,9.0,9.0,0.0,5.0,55.578177,37.653191
4676,476.0,2.0,49000000.0,81.0,40.0,13.0,5.06,14.0,1.0,1.0,0.0,1.0,12.0,17.0,0.0,5.0,55.710809,37.605023
4677,477.0,2.0,7618762.0,62.9,29.5,10.6,20.25,15.0,0.0,1.0,0.0,1.0,3.0,45.0,1.0,5.0,55.576473,37.673742
4678,478.0,1.0,12400000.0,45.0,25.0,10.0,8.57,5.0,1.0,1.0,0.0,1.0,11.0,18.0,0.0,5.0,55.689451,37.686707
4679,479.0,1.0,2450000.0,25.0,25.0,,16.94,7.0,0.0,1.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4680,480.0,1.0,2753955.0,25.1,,,16.94,3.0,0.0,0.0,0.0,1.0,6.0,18.0,1.0,5.0,55.604896,37.653976
4681,481.0,1.0,2764927.0,25.2,,,16.94,3.0,0.0,0.0,0.0,1.0,9.0,18.0,1.0,5.0,55.604896,37.653976
4682,482.0,1.0,2801074.0,25.6,,,16.94,3.0,0.0,0.0,0.0,1.0,8.0,18.0,1.0,5.0,55.604896,37.653976
4683,483.0,1.0,2830632.0,24.5,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4684,484.0,1.0,2853739.0,24.7,,,16.94,3.0,0.0,0.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4685,485.0,1.0,2961480.0,27.6,,,16.94,3.0,0.0,0.0,0.0,1.0,10.0,18.0,1.0,5.0,55.604896,37.653976
4686,486.0,1.0,2979684.0,25.7,,,16.94,3.0,0.0,0.0,0.0,1.0,18.0,18.0,1.0,5.0,55.604896,37.653976
4687,487.0,1.0,3164141.0,28.8,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4688,488.0,1.0,3603600.0,28.6,18.0,,18.61,7.0,1.0,1.0,0.0,1.0,5.0,8.0,1.0,5.0,55.599926,37.72539
4689,489.0,1.0,3660800.0,28.6,15.0,,18.61,10.0,1.0,1.0,0.0,1.0,6.0,19.0,1.0,5.0,55.599926,37.72539
4690,490.0,1.0,3700000.0,39.0,20.0,12.0,19.89,5.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4691,491.0,1.0,3750000.0,40.0,17.5,11.0,16.94,12.0,0.0,1.0,0.0,1.0,11.0,22.0,1.0,5.0,55.604896,37.653976
4692,492.0,1.0,3750000.0,31.0,20.0,6.0,17.91,7.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,5.0,55.595644,37.647046
4693,493.0,1.0,3786754.0,33.6,,,16.94,3.0,0.0,0.0,0.0,1.0,17.0,18.0,1.0,5.0,55.604896,37.653976
4694,494.0,2.0,3800000.0,40.0,40.0,,5.99,15.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4695,495.0,1.0,3800000.0,24.0,18.0,3.0,14.71,10.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,55.624749,37.648609
4696,496.0,2.0,3800000.0,40.0,40.0,,5.99,,,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4697,497.0,2.0,3800000.0,40.0,35.0,5.0,5.99,10.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4698,498.0,2.0,3800000.0,40.0,35.0,,5.99,,,0.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4699,499.0,2.0,3850000.0,39.0,19.0,12.0,19.89,,,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4700,500.0,1.0,3866880.0,40.3,34.0,,16.94,3.0,0.0,0.0,0.0,1.0,3.0,20.0,1.0,5.0,55.604896,37.653976
4701,501.0,1.0,3900000.0,38.6,18.0,7.0,19.3,10.0,0.0,0.0,0.0,1.0,7.0,12.0,0.0,5.0,55.58354,37.655239
4702,502.0,1.0,3900000.0,35.0,28.0,,19.57,10.0,0.0,0.0,0.0,1.0,5.0,12.0,0.0,5.0,55.58177,37.663261
4703,503.0,1.0,3900000.0,33.0,19.0,6.0,19.88,,,0.0,0.0,1.0,9.0,9.0,0.0,5.0,55.578177,37.653191
4704,504.0,2.0,52600000.0,81.0,50.0,,5.07,10.0,1.0,0.0,0.0,1.0,10.0,18.0,1.0,5.0,55.710736,37.605474
4705,505.0,2.0,5850000.0,45.0,31.0,6.5,14.39,10.0,1.0,0.0,0.0,0.0,8.0,9.0,0.0,5.0,55.627117,37.593731
4706,506.0,3.0,7000000.0,51.0,34.0,6.2,18.32,,,0.0,0.0,1.0,9.0,9.0,0.0,5.0,55.593049,37.662892
4707,507.0,1.0,2450000.0,25.0,25.0,,16.94,7.0,0.0,1.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4708,508.0,1.0,2753955.0,25.1,,,16.94,3.0,0.0,0.0,0.0,1.0,6.0,18.0,1.0,5.0,55.604896,37.653976
4709,509.0,1.0,2764927.0,25.2,,,16.94,3.0,0.0,0.0,0.0,1.0,9.0,18.0,1.0,5.0,55.604896,37.653976
4710,510.0,1.0,2801074.0,25.6,,,16.94,3.0,0.0,0.0,0.0,1.0,8.0,18.0,1.0,5.0,55.604896,37.653976
4711,511.0,1.0,2830632.0,24.5,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4712,512.0,1.0,2853739.0,24.7,,,16.94,3.0,0.0,0.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4713,513.0,1.0,2961480.0,27.6,,,16.94,3.0,0.0,0.0,0.0,1.0,10.0,18.0,1.0,5.0,55.604896,37.653976
4714,514.0,1.0,2979684.0,25.7,,,16.94,3.0,0.0,0.0,0.0,1.0,18.0,18.0,1.0,5.0,55.604896,37.653976
4715,515.0,1.0,3164141.0,28.8,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
